id,text
1261760545977282560, I'm not liking FOX news.  which means there is no media news for me.  What to do if everyone lies.  FOX news is attacking Trump over the coronavirus too.  Practically stating that the coronavirus was less than a cold.  Because of FOX I get attacked for wearing a face mask
1261674319198867457,My 4 yr olds 1st day wearing a mask...lol. I still refuse to take my kids to stores but I do want them to practice wearing masks just in case I ever let them in public again ✌︎︎  #COVID__19 #masks #coronavirus 
1261754087340638209,Hmmm. Is another mask about to drop??  Rigged counts? #FireFauciNow Watch the counts get real.
1261661915236818946," Just to add: quote ""In conclusion, both surgical and cotton masks seem to be ineffective in preventing the dissemination of SARS–CoV-2 from the coughs of patients with COVID-19 to the environment and external mask surface."" "
1261635819489701889,I published this point about face masks in mid-February. It's interesting to see how discussion in the West is still stuck on why we need to wear face masks. Do we seriously have to track and arrest people who infect others to make them behave responsibly?  
1261734593977298946,Trying not to burst a blood vessel as I see ppl on my timeline posting triumphant vids of themselves dining out without masks @ restaurants while COVID cases climb in GA & frontline nurses like my Mom are risking their lives.
1261703855848460290,My partner was denied a N95 mask for her shift providing direct care to Covid19 patients at a major MN hospital last night.  I thought these last few months were spent preparing and equipping?  We still can’t get basic PPE to health care workers?!?
1261708186354098176,"If the republicans want to declare the COVID-19 pandemic a war, that means I should be able to shoot the dumbasses who will not wear a mask."
1261705508597235713,Getting ready to head to Costco on our 2-week run. Both older kids help me with checking that the ties will make my mask fit right & tell me they love me & to be safe. For a grocery trip. Covid life is weird.
1261790527651041283," Languages will evolve to include collective nouns not only for mutant cats but also for zombies, mutant bats and camels when the fifth covid wave hits us. Until then we should keep using masks and the current terminology."
1261796208097611777," Google the size of particle the N-95 mask can filter, then Google the size of the COVID-19 virus. Equivalent of using chain link fencing to keep out mosquitos.  Don't take my word for it, Google it. You're welcome."
1261560309589905408,"As young ladies from different youth-led organisations, we meeting today to raise awareness on COVID-19. We using flyers and donating masks and buckets to Njewa and Ntsiriza communities. It starts with us young people. #WomenEmpowerment #COVID19 #GFFYouth #IDEASMalawi"
1261635593890672641,"On the way to the store, a mask giveaway to protect African Americans from coronavirus  #BlackNews #BlackTwitter #TBANN"
1261780098241433603," I ordered one from Amazon, which arrived yesterday from Hai Lin Road in China, yesterday.  No other info.  Light blue, patterned, stars/flowers.  I can't tell if it's from Wuhan, but I'm supposing they have developed mask-making skills fast there.  I want one from each country."
1261720802984185859, Science says if you are not sick you do not need a mask. Asymptomatic people cannot spread disease.
1261613765063303169,"The Covid 19 test involves pushing a swab all the way through your nose. Not particularly pleasant. So instead of having to do that, why not breathe safely? Wear a mask. "
1261687855782428674,Study: Men less likely to wear masks in public because it is ‘not cool’ and ‘a sign of weakness’ 
1261615207786311680,Stop The Spread of #coronavirus  🚫🤦 Don't touch your face 🚫🤧 Don't sneeze into hands 🖐⏲ Wash your hands regularly 🚫🤝 No handshakes 🚫🤝 No close contact 🚫🏟 No large gatherings ↔️ Keep a reasonable distance from others 😷 Wear a face mask if you need to go out. 
1261564521497481217,Portraits in the time of covid-19 #portrait #women #dog #COVID__19 #socialdistancing #quarantine #StayAtHome #ThePhotoHour #lockdown #lifestyle #concept #visual #advertising #graphic #digital #photography #photographer #gettyimages #nikon #mask 
1261610261452128256,Great galloping ghost of Woodsy Owl please stop tossing your masks out your car windows! You’re making Chief Iron Eyes weep!! #stoplittering #mask #masks #hilliard #hilliardohio #cardio #walking #walkitoff #covid #covid19 #giveahoot #alonetogether 
1261732501178859520,"I really respect how they’re  living by their convictions. Or maybe dying by them, if that “no mask” strategy backfires.  "
1261801043685507072,"Honestly in the #USA ""WE the People"" are the ""Government"" The Military won't force things against our will if we heed the advice regarding distancing & sick people should stay home anyway. I wear a mask because I care about you, not because I want to. Remember #Covid19isTheEnemy"
1261654995725889537,"Take this seriously, people. Safe social distancing, masks, stay the f*ck home, and share facts, not germs, with the people in your life."
1261785367860015104," 16m Why is this video not creating a global riot against #BillGates, Govts, Scientists? All who fell 4 the lie, told on Your neighbors, pushed 4 masks...SHAME ON U!  #QAnon #COVIDー19 Italian Govt call for arrest of Bill Gates "
1261703709668470785,"Timing seems off, or is it just me? We should wait. Especially since she's allowing 25% capacity in churches. As the news has shown, many churchgoers don't believe in masks.  I'm stayin' home. I wish everyone was able to that can't, and that those who can, would."
1261600424152444929,How can we ensure the constant and proper wearing of masks in our society in our fight against this horrendous coronavirus? 😭😭😭😭😭😭 
1261668231246426112," You want to make a big deal out of it? Oh, stop it. If you are an silent carrier you could infect and kill many #Masks4All: Cloth masks can help stop the spread of COVID-19, save lives and restore jobs. Please read and share this resource! "
1261703786415837184, Haha we should all wear these “masks” for covid. Perhaps that would stop the unnecessary quarantine
1261540377296662534, Maybe less likely but not low risk. I spent 6 days in hospital with covid. No underlying health issues. only went grocery shopping always with a mask. Washed my hands and used bleach wipes. husband and son also got it. Waiting for antibody test for asymptomatic daughter
1261746048671703040,"When there is suggestion that talking when infected but assymptomatic can spread via droplets, it makes sense to require masks, even before more solid proof"
